Vibration iOSApp file: VibrationData10-12b-3.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 10:13:31
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322212, Longitude
36.297383, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.26898950e-02,1.59339923e-02,1.00885177e+00
2.01580003e-02,1.62144303e-02,2.43333112e-02,9.97515082e-01
4.03149985e-02,1.69346631e-02,1.50603401e-02,1.00156391e+00
6.04720004e-02,1.42529504e-02,2.82921433e-03,1.00261807e+00
8.06299970e-02,1.58006810e-02,2.17014365e-03,9.99974906e-01
1.00786999e-01,1.61991064e-02,7.56532699e-03,1.00136530e+00
1.20944999e-01,1.42376255e-02,1.09373163e-02,1.00002074e+00
1.41102001e-01,1.51417460e-02,1.34203266e-02,1.00107503e+00
1.61259994e-01,1.77468378e-02,1.10446066e-02,1.00176251e+00
1.81417003e-01,1.64289679e-02,1.13818059e-02,1.00112081e+00
2.01574996e-01,1.48505885e-02,1.37115438e-02,1.00116670e+00
2.21732005e-01,1.44981351e-02,1.51982848e-02,9.99302685e-01
2.41889000e-01,1.15405899e-02,1.55661386e-02,1.00289309e+00
2.62046993e-01,1.54635515e-02,1.28685469e-02,1.00420702e+00
2.82204002e-01,2.19303090e-02,5.02100773e-03,9.99470711e-01
3.02361995e-01,2.09189206e-02,2.33874330e-03,9.99287367e-01
3.22519004e-01,1.33641539e-02,9.02141351e-03,1.00439036e+00
3.42676997e-01,1.09276269e-02,1.41866878e-02,1.00075412e+00
3.62834007e-01,9.79364570e-03,9.78777464e-03,1.00460434e+00
3.82991999e-01,1.46054039e-02,1.20255491e-02,1.00286257e+00
4.03149009e-01,2.19149850e-02,2.02869233e-02,9.91846740e-01
4.23305988e-01,1.84670687e-02,1.74820423e-02,1.00109029e+00
4.43464011e-01,1.26132742e-02,1.04315178e-02,1.00845444e+00
