Vibration iOSApp file: VibrationData13-15a-2.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 15:45:59
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322200, Longitude
36.297393, Latitude
0.077370, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.24666521e-02,1.57194100e-02,9.96873379e-01
2.01590005e-02,2.89793815e-02,3.25793587e-02,9.97820675e-01
4.03189994e-02,2.88567878e-02,4.09326963e-02,1.00113606e+00
6.04780018e-02,1.35020707e-02,2.65710857e-02,1.00191534e+00
8.06370005e-02,9.36457142e-03,1.32210730e-02,1.00136530e+00
1.00796998e-01,7.03531317e-03,2.75257835e-03,1.00104439e+00
1.20956004e-01,1.67354494e-02,-1.14557594e-02,1.00081527e+00
1.41115993e-01,1.77621618e-02,-1.35862436e-02,1.00232780e+00
1.61274999e-01,3.21208164e-02,-3.10242153e-03,1.00205278e+00
1.81434005e-01,3.45113687e-02,2.09766496e-02,1.00006664e+00
2.01593995e-01,3.15844715e-02,3.32690813e-02,1.00183892e+00
2.21753001e-01,1.78541057e-02,2.94985864e-02,1.00021935e+00
2.41913006e-01,1.76395699e-02,9.86441039e-03,1.00220561e+00
2.62071997e-01,1.81146152e-02,-3.69766203e-05,1.00431406e+00
2.82231003e-01,1.79613754e-02,-4.26729070e-03,1.00429869e+00
3.02390993e-01,1.54635515e-02,-1.09455513e-03,1.00081527e+00
3.22549999e-01,1.44981351e-02,6.46176655e-03,1.00138056e+00
3.42709988e-01,1.02993399e-02,1.50450123e-02,1.00228202e+00
3.62868994e-01,1.87429022e-02,1.71601698e-02,9.98890162e-01
3.83028001e-01,2.57153548e-02,1.38494894e-02,1.00075412e+00
4.03187990e-01,2.53016036e-02,1.57347377e-02,1.00269449e+00
4.23346996e-01,1.83138289e-02,1.56274475e-02,1.00179303e+00
4.43506002e-01,1.41763296e-02,7.54999975e-03,9.98874843e-01
4.63665992e-01,1.25060063e-02,1.02169365e-02,9.99562383e-01
4.83824998e-01,1.52643388e-02,-6.62199333e-02,1.00827110e+00
5.03984988e-01,1.02993399e-02,3.82351056e-02,9.86835420e-01
5.24143994e-01,-1.22730145e-02,3.79132330e-02,1.00047910e+00
5.44303000e-01,7.08128558e-03,2.17276830e-02,1.00486410e+00
5.64463019e-01,3.12320199e-02,8.71136263e-02,1.00796556e+00
5.84622025e-01,9.44119226e-03,-3.04461904e-02,1.01586449e+00
6.04781985e-01,1.02827791e-03,-1.85982455e-02,9.92167592e-01
6.24940991e-01,8.64434056e-03,-4.32859967e-03,9.87324357e-01
6.45099998e-01,1.75476242e-02,-8.85013118e-03,1.00095272e+00
6.65260017e-01,2.95003988e-02,3.94810177e-03,1.00489461e+00
6.85419023e-01,3.32241468e-02,4.89838980e-03,9.98523474e-01
7.05578983e-01,1.17244786e-02,9.51188430e-03,9.99852717e-01
7.25737333e-01,1.90647077e-02,1.93059817e-02,9.98844326e-01
7.45896339e-01,3.12779918e-02,1.78652219e-02,9.99241531e-01
7.66056359e-01,3.42815109e-02,1.32363997e-02,1.00173199e+00
7.86215305e-01,1.76855419e-02,3.04379547e-03,1.00579607e+00
8.06375325e-01,3.56147029e-02,1.88308377e-02,9.94871914e-01
8.26534331e-01,2.61137802e-02,2.23586205e-04,1.00406957e+00
8.46693337e-01,2.14246139e-02,-9.41282895e-04,1.00805724e+00
8.66853356e-01,2.13326700e-02,-9.06471163e-03,1.00266397e+00
8.87012362e-01,1.80533193e-02,2.92117777e-03,9.96980369e-01
9.07172322e-01,1.85436904e-02,1.38188349e-02,1.00490987e+00
9.27331328e-01,2.41216514e-02,1.52136125e-02,1.00761414e+00
9.47490335e-01,1.95550788e-02,2.12525390e-02,1.00468075e+00
9.67650354e-01,1.98922083e-02,3.17516886e-02,9.96827543e-01
9.87809360e-01,2.24360041e-02,1.35122901e-02,9.96873379e-01
1.00796938e+00,1.59692466e-02,-3.60559560e-02,1.00617802e+00
1.02812839e+00,1.10961916e-02,-6.71964651e-03,9.93894100e-01
1.04828739e+00,2.31715590e-02,2.24940442e-02,9.94184375e-01
1.06844735e+00,2.49644741e-02,3.40967514e-02,1.00431406e+00
1.08860636e+00,2.14399379e-02,1.63784809e-02,1.00888228e+00
1.10876632e+00,2.32635029e-02,4.98071574e-02,9.94489968e-01
1.12892532e+00,2.25739200e-02,2.25706808e-02,1.00483346e+00
1.14908433e+00,2.12713741e-02,-2.91849487e-03,1.00825584e+00
1.16924429e+00,1.61531344e-02,-1.85062829e-02,1.00495565e+00
1.18940330e+00,1.30423484e-02,-3.23314406e-02,9.98172045e-01
1.20956337e+00,2.06277631e-02,2.50734272e-03,9.94596899e-01
1.22972238e+00,3.11094262e-02,9.52721201e-03,1.00002074e+00
1.24988139e+00,2.87188720e-02,2.00263616e-02,1.00335145e+00
1.27004135e+00,2.07963269e-02,3.63191999e-02,9.98737395e-01
1.29020035e+00,7.31114624e-03,4.26953249e-02,9.97041464e-01
1.31036031e+00,4.79799882e-03,2.73374468e-02,1.00251114e+00
1.33051932e+00,1.44368391e-02,-1.29118459e-02,1.01160181e+00
1.35067928e+00,2.20375769e-02,-2.83310339e-02,1.00544465e+00
1.37083828e+00,2.89334096e-02,-1.33869899e-02,9.98217881e-01
1.39099729e+00,3.57372947e-02,-7.62395281e-03,1.00035691e+00
1.41115737e+00,2.77228076e-02,2.60039791e-02,1.00164032e+00
1.43131638e+00,2.76155379e-02,3.01883109e-02,1.00370288e+00
1.45147634e+00,2.43515112e-02,2.86249332e-02,1.00440574e+00
1.47163534e+00,2.43668351e-02,2.12525390e-02,9.98706818e-01
1.49179435e+00,5.39563783e-03,2.94066221e-02,9.99623537e-01
1.51195431e+00,7.84748886e-03,-1.10988237e-03,1.00542939e+00
1.53211331e+00,1.49731813e-02,-7.24077225e-03,1.00223613e+00
1.55227339e+00,1.86816063e-02,-8.95301229e-04,9.95406628e-01
1.57243228e+00,8.21526628e-03,-2.12651826e-02,1.00384033e+00
1.59259129e+00,1.84977166e-02,-4.41487283e-02,1.00020409e+00
1.61275136e+00,3.91852111e-02,3.91547382e-02,9.86774325e-01
1.63291037e+00,2.57766508e-02,9.36890021e-02,1.00454319e+00
1.65307033e+00,6.72883168e-03,4.03349325e-02,1.02552056e+00
1.67322934e+00,1.53869316e-02,6.59971172e-03,1.01030314e+00
1.69338834e+00,2.23747063e-02,-2.27519237e-02,9.89631414e-01
1.71354830e+00,1.06517933e-02,-2.11272389e-02,9.92350936e-01
1.73370767e+00,5.94730442e-03,-5.44748688e-03,1.00263333e+00
1.75386775e+00,7.29582226e-03,-3.59289278e-03,1.00671268e+00
1.77402675e+00,2.82119401e-03,6.81429310e-03,1.00900447e+00
1.79418576e+00,1.71338748e-02,2.85023153e-02,1.00292373e+00
1.81434572e+00,3.49557698e-02,4.07947488e-02,9.98141527e-01
1.83450472e+00,2.87188720e-02,3.10619622e-02,1.00139582e+00
1.85466468e+00,1.47586446e-02,1.42633244e-02,1.00138056e+00
1.87482369e+00,1.20003121e-02,3.10510444e-03,1.00096798e+00
1.89498365e+00,2.27271598e-02,-1.69275776e-02,1.00066245e+00
1.91514266e+00,3.08029447e-02,-3.57340835e-02,1.00057077e+00
1.93530166e+00,1.70879029e-02,3.77950235e-03,9.95651126e-01
1.95546174e+00,1.97837013e-03,3.02189644e-02,9.98034537e-01
1.97562075e+00,9.16535873e-03,3.82197760e-02,9.97545660e-01
1.99578071e+00,2.36772522e-02,3.16597261e-02,1.00238895e+00
2.01593971e+00,2.13326700e-02,1.13511514e-02,1.00903511e+00
2.03609872e+00,1.85743384e-02,-5.42775029e-04,1.00573492e+00
2.05625868e+00,8.19994230e-03,-7.59329833e-03,1.00063193e+00
2.07641768e+00,9.96221043e-03,8.36675172e-04,9.97576177e-01
2.09657764e+00,2.29110494e-02,3.41164903e-03,1.00229728e+00
2.11673665e+00,2.46120207e-02,3.55375111e-02,9.96659517e-01
2.13689566e+00,2.43055392e-02,3.93539928e-02,1.00243473e+00
2.15705562e+00,2.80752610e-02,2.05321591e-02,1.00445151e+00
2.17721462e+00,2.08423007e-02,-1.27125913e-02,1.00695717e+00
2.19737482e+00,1.35940146e-02,-5.61608654e-03,1.00356531e+00
2.21753383e+00,3.14465575e-02,-2.38554832e-02,1.00571966e+00
2.23769259e+00,3.90932672e-02,-3.30167543e-03,9.99837399e-01
2.25785279e+00,2.64202617e-02,1.86315831e-02,1.00206804e+00
2.27801180e+00,1.33028580e-02,3.42193693e-02,1.00115132e+00
2.29817176e+00,1.74863283e-02,2.91767139e-02,9.99287367e-01
2.31833076e+00,1.38392001e-02,1.30064916e-02,9.96506691e-01
2.33848977e+00,1.35633666e-02,-8.03337840e-04,9.98997092e-01
2.35864973e+00,1.38392001e-02,-4.52785334e-03,1.00147223e+00
2.37880874e+00,7.40309106e-03,-4.17532725e-03,1.00350428e+00
