Vibration iOSApp file: VibrationData1500a-5.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 15:39:56
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322211, Longitude
36.297409, Latitude
0.068154, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.39605557e-03,5.41600920e-02,9.89845276e-01
2.01590005e-02,1.91260036e-02,4.22814898e-02,1.00000548e+00
4.03180011e-02,1.79613754e-02,8.17841571e-03,1.01239634e+00
6.04769997e-02,1.63983200e-02,-2.70742010e-02,1.01525342e+00
8.06360021e-02,1.81146152e-02,-8.23704153e-03,1.00206804e+00
1.00795001e-01,1.52030420e-02,9.71113797e-03,9.94016290e-01
1.20953999e-01,1.36553114e-02,3.99517529e-02,9.96445596e-01
1.41112998e-01,2.09648926e-02,2.26319898e-02,9.96797025e-01
1.61272004e-01,2.72630844e-02,-8.19106027e-03,9.99424875e-01
1.81430995e-01,2.10874844e-02,4.39259131e-03,9.98340130e-01
2.01591000e-01,1.97389666e-02,5.76112361e-04,9.98599887e-01
2.21750006e-01,2.42135953e-02,-1.41686779e-02,9.99929070e-01
2.41908997e-01,2.99447980e-02,-4.65704314e-02,1.00333619e+00
2.62068003e-01,1.42376255e-02,-4.26729070e-03,1.00249588e+00
2.82227010e-01,8.65966454e-03,1.70528796e-02,9.95406628e-01
3.02385986e-01,1.04219327e-02,3.69629450e-02,9.97255325e-01
3.22544992e-01,1.47267594e-03,5.08034267e-02,9.99592960e-01
3.42703998e-01,2.54536071e-03,3.35296467e-02,1.00289309e+00
3.62863004e-01,2.66795326e-03,1.45085594e-02,1.00312233e+00
3.83022010e-01,2.01833658e-02,-1.30497906e-02,1.00348902e+00
4.03180987e-01,2.16544755e-02,-2.80398168e-02,1.00492513e+00
4.23339993e-01,2.63283178e-02,-2.71968190e-02,1.00332093e+00
4.43498999e-01,2.12254021e-02,-6.82693720e-03,1.00018883e+00
4.63658005e-01,2.69719269e-02,1.76199861e-02,1.00110555e+00
