Vibration iOSApp file: VibrationData500b-2.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 14:35:04
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322215, Longitude
36.297387, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.94018371e-02,9.08272248e-03,9.96185839e-01
2.01590005e-02,1.85896624e-02,8.50028731e-03,1.00452793e+00
4.03169990e-02,1.90953556e-02,9.03674029e-03,9.98385966e-01
6.04760014e-02,1.84977166e-02,9.05206800e-03,1.00061667e+00
8.06349963e-02,1.63676720e-02,7.65729044e-03,1.00275564e+00
1.00792997e-01,1.73637364e-02,8.80683213e-03,9.99073505e-01
1.20952003e-01,1.63829960e-02,1.08913351e-02,9.99501288e-01
1.41111001e-01,1.49578573e-02,1.05234813e-02,1.00093746e+00
1.61268994e-01,1.73637364e-02,1.35889268e-02,9.98508215e-01
1.81428000e-01,1.75629482e-02,1.06001170e-02,1.00170135e+00
2.01587006e-01,1.64289679e-02,6.32382184e-03,1.00232780e+00
2.21744999e-01,1.78541057e-02,6.67634793e-03,9.99287367e-01
2.41904005e-01,1.84823927e-02,7.50401802e-03,1.00049436e+00
2.62062997e-01,1.77928098e-02,1.20255491e-02,1.00119722e+00
2.82222003e-01,1.91719756e-02,1.40640698e-02,9.99333203e-01
3.02379996e-01,1.85283646e-02,1.09986253e-02,9.99012351e-01
3.22539002e-01,1.71185508e-02,7.44270906e-03,1.00240421e+00
3.42697889e-01,1.93252172e-02,6.70700241e-03,9.98691559e-01
3.62855881e-01,1.74403563e-02,8.89879558e-03,1.00032628e+00
3.83014888e-01,1.56780891e-02,9.60384775e-03,1.00136530e+00
4.03173864e-01,1.68580413e-02,1.16730230e-02,1.00049436e+00
4.23331887e-01,1.69040132e-02,1.19642401e-02,9.99424875e-01
4.43490863e-01,1.72411427e-02,9.60384775e-03,1.00029576e+00
4.63649869e-01,1.70725789e-02,7.35074561e-03,1.00026524e+00
4.83807862e-01,1.87429022e-02,7.71859894e-03,1.00185418e+00
5.03966868e-01,1.89267918e-02,9.29730292e-03,9.97683167e-01
5.24125874e-01,1.87275782e-02,1.11365700e-02,1.00122774e+00
5.44283867e-01,1.99994761e-02,8.00981652e-03,9.99241531e-01
5.64442873e-01,1.91106796e-02,1.02016097e-02,1.01439786e+00
5.84601879e-01,2.21908186e-02,1.53668839e-02,9.85429823e-01
6.04759872e-01,1.24906823e-02,8.80683213e-03,1.01400054e+00
6.24918878e-01,1.50038293e-02,7.12083746e-03,1.00478768e+00
6.45077884e-01,2.13633180e-02,9.89506487e-03,9.89921689e-01
6.65235877e-01,1.71338748e-02,9.09804925e-03,1.00393200e+00
6.85394883e-01,1.49731813e-02,1.13051701e-02,1.00370288e+00
7.05553889e-01,1.52030420e-02,1.34203266e-02,9.98752654e-01
7.25711882e-01,1.69040132e-02,5.46549726e-03,9.98630404e-01
7.45870888e-01,1.78387817e-02,4.33128234e-03,1.00571966e+00
7.66029894e-01,2.09342446e-02,1.13358246e-02,9.95131671e-01
7.86187887e-01,1.91566516e-02,1.23320939e-02,1.00145698e+00
8.06346893e-01,1.63983200e-02,1.05388090e-02,1.00330567e+00
8.26505899e-01,1.80379953e-02,1.12898424e-02,9.97851193e-01
8.46663892e-01,1.73943844e-02,7.77990790e-03,1.00035691e+00
8.66822898e-01,1.87122542e-02,7.82588962e-03,1.00400841e+00
