Vibration iOSApp file: VibrationData7-9a-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-04 at 17:49:24
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322218, Longitude
36.297369, Latitude
0.046943, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.24053543e-02,1.30524738e-02,9.97209489e-01
2.01590005e-02,1.61531344e-02,3.47558223e-02,1.00215971e+00
4.03180011e-02,6.91272086e-03,4.03655879e-02,9.97820675e-01
6.04769997e-02,1.82372089e-02,4.58527356e-02,9.95651126e-01
8.06360021e-02,2.01986898e-02,3.85876298e-02,1.00229728e+00
1.00795001e-01,2.60984562e-02,2.45478917e-02,1.00148749e+00
1.20953999e-01,2.32481789e-02,-2.79587717e-03,9.99317944e-01
1.41112998e-01,2.19149850e-02,-1.09806154e-02,1.00087631e+00
1.61272004e-01,2.23287344e-02,-1.72494501e-02,1.00420702e+00
1.81430995e-01,2.93471590e-02,-6.29048422e-03,9.99531865e-01
2.01590002e-01,2.57000308e-02,2.93650501e-03,1.00057077e+00
2.21748993e-01,2.23440584e-02,1.09219896e-02,9.99547124e-01
2.41907999e-01,7.86281284e-03,1.63938086e-02,1.00186944e+00
2.62066990e-01,1.46973478e-02,3.01423296e-02,9.99333203e-01
2.82225996e-01,1.13107283e-02,3.68249975e-02,9.97774839e-01
3.02385002e-01,2.47192904e-02,3.09853274e-02,9.96567845e-01
3.22544008e-01,1.72104947e-02,1.34969633e-02,9.99211013e-01
3.42703015e-01,1.59539226e-02,2.50734272e-03,1.00248063e+00
3.62863004e-01,2.12713741e-02,-8.45162291e-03,1.00072360e+00
3.83022010e-01,3.30555849e-02,-5.34019666e-03,9.97790098e-01
4.03180987e-01,4.30468768e-02,-1.18651846e-03,9.98263717e-01
4.23339993e-01,3.85722481e-02,1.43443700e-03,1.00124300e+00
4.43498999e-01,3.93078029e-02,4.16837297e-02,9.98905420e-01
4.63658005e-01,4.47478481e-02,-4.72295024e-02,1.01259494e+00
4.83817011e-01,2.97455844e-02,5.43484278e-03,9.75727975e-01
5.03975987e-01,2.26505399e-02,2.74907202e-02,9.64651048e-01
5.24134994e-01,1.95244309e-02,9.22482461e-02,1.01147962e+00
5.44294000e-01,1.22761447e-02,-4.68112575e-03,1.04828548e+00
5.64453006e-01,1.35020707e-02,-1.80771202e-02,9.82587993e-01
5.84612012e-01,9.33392346e-03,-8.14507902e-03,9.65583086e-01
6.04771018e-01,9.05809086e-03,-7.57356174e-04,1.00605571e+00
6.24930024e-01,3.48012894e-03,-2.29007867e-03,1.01236582e+00
6.45088971e-01,1.94784570e-02,-5.81534021e-03,9.99149859e-01
6.65247977e-01,1.51570700e-02,8.88346788e-03,9.93924618e-01
6.85406983e-01,2.80905850e-02,1.49223944e-02,1.00356531e+00
7.05565870e-01,4.52995151e-02,2.07314137e-02,1.00101388e+00
7.25724876e-01,3.34846564e-02,2.36282591e-02,9.96002495e-01
7.45883882e-01,2.68186871e-02,1.84629839e-02,9.98049855e-01
7.66043901e-01,4.19588685e-02,4.75847125e-02,9.95528877e-01
7.86202848e-01,3.04504912e-02,1.95665434e-02,1.00286257e+00
8.06361854e-01,2.43515112e-02,-8.83480348e-03,1.00087631e+00
8.26520860e-01,2.16544755e-02,-1.81077756e-02,9.97897029e-01
8.46679866e-01,1.56780891e-02,-1.35709159e-02,9.95926142e-01
8.66838872e-01,1.10961916e-02,-3.69602628e-02,1.01045597e+00
8.86997879e-01,1.73790604e-02,-1.84603017e-02,1.00895870e+00
9.07156885e-01,2.61597522e-02,2.25246977e-02,9.94474649e-01
9.27315891e-01,3.03278994e-02,4.19289656e-02,9.92595434e-01
9.47474897e-01,3.36532220e-02,4.49177735e-02,9.98722076e-01
9.67633903e-01,2.61137802e-02,2.14977749e-02,1.00054026e+00
9.87792850e-01,2.61750761e-02,2.55288351e-02,9.95788634e-01
1.00795186e+00,2.87954919e-02,2.38275118e-02,9.96705353e-01
1.02811086e+00,2.38458179e-02,1.76046584e-02,1.00410008e+00
1.04826987e+00,2.01067440e-02,1.09723804e-03,1.00428343e+00
1.06842887e+00,1.81759112e-02,4.79065813e-02,9.96155322e-01
1.08858788e+00,1.63676720e-02,1.79571845e-02,1.00802672e+00
1.10874784e+00,1.98462363e-02,-1.12565048e-02,1.01539087e+00
1.12890685e+00,2.61291042e-02,-1.62991621e-02,9.95345533e-01
1.14906585e+00,2.32941508e-02,-5.55477757e-03,9.87752140e-01
1.16922486e+00,1.84210967e-02,4.33128234e-03,1.00116670e+00
1.18938386e+00,2.08116509e-02,2.52266997e-03,1.01256442e+00
1.20954287e+00,2.67880391e-02,1.02169365e-02,1.00494039e+00
1.22970188e+00,3.24732699e-02,2.48237830e-02,9.95330274e-01
1.24986088e+00,3.00367419e-02,3.25640291e-02,9.96415019e-01
1.27001989e+00,2.50257701e-02,2.45325640e-02,1.00345838e+00
1.29017889e+00,2.40756795e-02,1.07687172e-02,9.99409616e-01
1.31033790e+00,2.32022069e-02,7.90252630e-03,9.91648138e-01
1.33049691e+00,2.14092899e-02,1.73440967e-02,9.94566321e-01
1.35065591e+00,2.67267432e-02,-2.82212219e-04,1.00623906e+00
1.37081492e+00,2.32788268e-02,-6.39777491e-03,1.01345050e+00
1.39097393e+00,2.07963269e-02,-4.98767011e-03,1.01077676e+00
1.41113293e+00,2.39377618e-02,-2.22876971e-03,1.00717103e+00
1.43129289e+00,2.39530858e-02,1.77272763e-02,9.95864987e-01
1.45145190e+00,4.35360102e-03,5.48344888e-02,9.96705353e-01
1.47161090e+00,1.42069776e-02,4.53316085e-02,9.98141527e-01
1.49176991e+00,2.68340111e-02,2.79352088e-02,1.00050962e+00
1.51192892e+00,2.11487822e-02,1.21328402e-02,9.98752654e-01
1.53208792e+00,2.36147200e-03,-6.99553685e-03,9.93878782e-01
1.55224693e+00,-1.50019361e-03,-3.66230607e-02,9.90746737e-01
1.57240593e+00,1.12800803e-02,-8.12975131e-03,1.00228202e+00
1.59256482e+00,1.19543392e-02,3.20122503e-02,1.03131104e+00
1.61272383e+00,2.38611419e-02,3.51893948e-03,1.03044021e+00
1.63288283e+00,2.32328549e-02,-2.13680649e-03,9.88378525e-01
1.65304184e+00,2.07350310e-02,1.89841092e-02,9.77698922e-01
1.67320085e+00,2.17310954e-02,4.38755229e-02,9.94688570e-01
1.69335973e+00,2.89487336e-02,3.53689119e-02,1.00865304e+00
1.71351874e+00,3.25498879e-02,1.48764132e-02,1.00477242e+00
1.73367774e+00,2.82285009e-02,-1.30913628e-03,1.00018883e+00
1.75383770e+00,3.12626660e-02,-1.08733242e-02,9.97178972e-01
1.77399671e+00,2.35699844e-02,-5.29421493e-03,9.98599887e-01
1.79415572e+00,1.14486450e-02,7.93318078e-03,9.99531865e-01
1.81431472e+00,5.38031384e-03,2.18656268e-02,1.00234306e+00
