Vibration iOSApp file: VibrationData16-18a-2.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 16:11:08
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322181, Longitude
36.297373, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.08116509e-02,3.50163877e-02,9.96842861e-01
2.01570000e-02,1.76548939e-02,1.52749214e-02,1.00399315e+00
4.03140001e-02,1.44368391e-02,6.75298413e-03,1.00212920e+00
6.04709983e-02,1.62604023e-02,1.24087296e-02,9.99562383e-01
8.06280002e-02,2.54395213e-02,-5.78468572e-03,1.00553632e+00
1.00785002e-01,2.30183173e-02,-3.71551048e-03,1.00738502e+00
1.20941997e-01,2.31102630e-02,-7.42028991e-04,1.00500154e+00
1.41099006e-01,1.53409587e-02,1.01709552e-02,1.00390148e+00
1.61256000e-01,1.54329035e-02,2.06241217e-02,1.00124300e+00
1.81412995e-01,1.96304615e-03,5.04355766e-02,1.00040269e+00
2.01570004e-01,2.24360041e-02,4.33850512e-02,9.94382977e-01
2.21726999e-01,4.95596081e-02,2.67396849e-02,9.94642735e-01
2.41883993e-01,4.68319207e-02,1.41866878e-02,9.99455452e-01
2.62041003e-01,2.02599857e-02,-7.70058902e-03,1.00107503e+00
2.82198012e-01,1.04372567e-02,-4.53902334e-02,9.98248458e-01
3.02354991e-01,2.24513281e-02,-1.41686779e-02,9.98294294e-01
3.22512001e-01,2.08116509e-02,4.56381552e-02,1.01125050e+00
3.42669010e-01,1.98462363e-02,1.84629839e-02,1.01869106e+00
3.62825990e-01,1.68886892e-02,-1.13612747e-04,1.00217497e+00
3.82982999e-01,8.35318305e-03,1.49683766e-02,9.93802428e-01
4.03140008e-01,1.08510070e-02,4.26493436e-02,9.91846740e-01
4.23296988e-01,1.99994761e-02,3.27479579e-02,9.98783231e-01
4.43453997e-01,2.24513281e-02,9.60384775e-03,1.00701833e+00
4.63611007e-01,2.12560501e-02,-1.04441624e-02,1.00254166e+00
4.83767986e-01,2.27271598e-02,-1.97171327e-02,9.99913812e-01
5.03925025e-01,2.23287344e-02,-6.33646594e-03,1.00083053e+00
5.24082005e-01,2.49185022e-02,1.37728527e-02,1.00465012e+00
5.44238985e-01,2.52249837e-02,2.52069626e-02,9.99638796e-01
5.64396024e-01,2.06277631e-02,2.20342278e-02,9.98141527e-01
5.84553003e-01,2.09342446e-02,2.41034031e-02,9.98935997e-01
6.04710996e-01,2.65581775e-02,1.27612557e-02,9.97927606e-01
6.24867976e-01,1.86356343e-02,2.28005890e-02,9.94871914e-01
6.45025015e-01,1.61837824e-02,1.42020155e-02,9.99165177e-01
6.65181994e-01,2.13479940e-02,1.00789918e-02,9.97713685e-01
6.85338974e-01,2.42289193e-02,-5.27447846e-04,1.00070834e+00
7.05496013e-01,2.12560501e-02,-2.17096731e-02,1.00423765e+00
7.25652993e-01,2.89334096e-02,7.76458066e-03,1.00066245e+00
7.45809972e-01,2.72784084e-02,3.37442271e-02,9.99486029e-01
7.65967011e-01,1.89114679e-02,4.07181159e-02,9.96140003e-01
7.86123991e-01,1.16785066e-02,2.20802091e-02,1.00316811e+00
8.06280971e-01,1.19543392e-02,5.78079708e-02,9.98615146e-01
8.26437652e-01,1.33335060e-02,3.59513462e-02,9.99486029e-01
8.46594691e-01,2.16851234e-02,2.24677986e-03,1.00545990e+00
8.66751671e-01,3.26265097e-02,-2.70895287e-02,1.00681973e+00
8.86908650e-01,2.90713254e-02,-2.46831551e-02,1.00312233e+00
9.07065690e-01,2.45966967e-02,-5.22261783e-02,1.00931013e+00
9.27222669e-01,2.66960952e-02,-2.07134038e-02,1.00914204e+00
9.47379649e-01,2.36925762e-02,1.34356543e-02,1.00329030e+00
9.67536688e-01,1.67201255e-02,3.78519222e-02,9.95039999e-01
9.87693667e-01,1.46207279e-02,5.21062426e-02,9.96384501e-01
1.00785065e+00,1.87429022e-02,5.11406288e-02,9.93955195e-01
1.02800763e+00,1.07897101e-02,3.93539928e-02,9.94199634e-01
1.04816473e+00,5.77873969e-03,1.97504703e-02,9.98156786e-01
1.06832170e+00,4.59878612e-03,1.12789252e-03,1.00254166e+00
1.08847868e+00,1.88195221e-02,-1.76173039e-02,1.00535297e+00
1.10863566e+00,1.09123029e-02,-2.97104847e-02,9.94780242e-01
1.12879264e+00,1.68427173e-02,-3.13198417e-02,9.86147881e-01
1.14894962e+00,2.13939659e-02,-5.04897907e-03,1.01691878e+00
1.16910672e+00,2.39684097e-02,1.07074082e-02,9.78279471e-01
1.18926370e+00,3.09868343e-02,2.32604053e-02,1.00017357e+00
1.20942068e+00,2.62670200e-02,5.68576828e-02,9.98767912e-01
1.22957766e+00,2.86729001e-02,5.44666350e-02,9.91724551e-01
1.24973464e+00,3.68253030e-02,2.57280879e-02,9.98385966e-01
1.26989162e+00,3.14618796e-02,6.55373000e-03,1.00232780e+00
1.29004872e+00,1.95857268e-02,3.78212705e-02,9.91663456e-01
1.31020570e+00,1.42069776e-02,4.94437153e-03,1.00028050e+00
1.33036268e+00,1.39924409e-02,-1.42912958e-02,1.01448953e+00
1.35051966e+00,1.33794779e-02,-2.31197774e-02,1.00197637e+00
1.37067664e+00,2.02293377e-02,-2.02076044e-02,1.00057077e+00
1.39083362e+00,2.07963269e-02,-1.30913628e-03,9.98477638e-01
1.41099072e+00,2.10568365e-02,1.31444372e-02,9.99516547e-01
1.43114769e+00,2.40450297e-02,2.33217143e-02,1.00214446e+00
1.45130467e+00,2.68646590e-02,3.35909538e-02,9.98874843e-01
1.47146165e+00,3.25498879e-02,3.88941728e-02,9.96109486e-01
1.49161863e+00,3.21821123e-02,3.59973274e-02,9.98554051e-01
1.51177561e+00,2.80905850e-02,1.61792282e-02,1.00135005e+00
1.53193271e+00,2.00454481e-02,-2.55064154e-03,1.00237370e+00
