Vibration iOSApp file: VibrationData16-18a-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 16:10:05
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322181, Longitude
36.297373, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.99228562e-02,3.69169638e-02,9.97637331e-01
2.01559998e-02,1.58619769e-02,5.07114641e-02,9.97163653e-01
4.03130017e-02,1.96776707e-02,4.92553785e-02,9.96919215e-01
6.04699999e-02,2.51330398e-02,2.98664384e-02,1.00167084e+00
8.06260034e-02,2.77841035e-02,6.50774827e-03,1.00202227e+00
1.00782998e-01,2.93471590e-02,-8.14507902e-03,1.00222087e+00
1.20939001e-01,2.81518809e-02,-1.40000787e-02,1.00329030e+00
1.41095996e-01,2.15472076e-02,-1.73873957e-02,1.00523067e+00
1.61252007e-01,1.63217001e-02,-1.10572511e-02,1.00448203e+00
1.81409001e-01,1.65209118e-02,7.24345539e-03,1.00083053e+00
2.01565996e-01,1.74403563e-02,2.96058767e-02,9.96628940e-01
2.21722007e-01,1.95091050e-02,3.77446339e-02,9.98538733e-01
2.41879746e-01,2.05204953e-02,3.70702334e-02,9.99730468e-01
2.62035757e-01,1.80379953e-02,2.94372775e-02,9.99562383e-01
2.82192737e-01,2.01373920e-02,4.20515835e-02,9.97316480e-01
3.02348763e-01,2.31409110e-02,6.20120391e-03,1.00067770e+00
3.22505742e-01,2.59298906e-02,-1.50729846e-02,1.00165558e+00
3.42661738e-01,3.59978043e-02,-2.65377481e-02,9.96430337e-01
3.62818748e-01,4.26024795e-02,-3.66077349e-02,1.00853086e+00
3.82975757e-01,3.11860461e-02,4.88306256e-03,1.00494039e+00
4.03131753e-01,2.65428536e-02,-2.12498549e-02,1.00356531e+00
4.23288763e-01,3.81584987e-02,1.46618318e-02,9.62282896e-01
4.43444759e-01,3.45420167e-02,5.52023426e-02,9.76889133e-01
4.63601738e-01,2.82897986e-02,5.63365556e-02,1.00083053e+00
