Run,channel,Xf,Xm,Yf,Ym,Zf,Zm
1,1,10.003596,0.00078,5.667897,0.002533,7.968966,0.000708
1,2,8.792507,0.000614,6.007002,0.002282,9.882487,0.000629
1,3,7.3392,0.000547,6.103889,0.001952,10.996689,0.000573
1,4,9.834044,0.000511,5.086574,0.001842,7.436087,0.000558
1,5,11.093576,0.00051,5.57101,0.001751,14.363517,0.000536
2,1,10.100326,0.001536,6.006908,0.002471,8.089949,0.000599
2,2,10.899632,0.000864,5.595144,0.00238,5.69203,0.000567
2,3,9.301019,0.000763,6.103794,0.00226,19.595116,0.000516
2,4,11.117624,0.000753,5.69203,0.00208,18.190273,0.000479
2,5,10.390982,0.000721,8.501713,0.002026,6.006908,0.000471
3,1,10.221484,0.000813,5.910052,0.002427,16.470638,0.000444
3,2,10.14882,0.000688,5.813166,0.002227,11.432561,0.000435
3,3,11.214567,0.000661,5.595172,0.002061,16.567524,0.000413
3,4,6.491369,0.00066,5.71628,0.001965,15.162676,0.000401
3,5,8.8893,0.000638,6.079603,0.001726,11.529447,0.000391
4,1,6.418739,0.000788,5.934306,0.002525,7.339162,0.000653
4,2,8.792461,0.00077,6.176522,0.002387,7.944703,0.000638
4,3,6.176522,0.000764,5.813198,0.002187,7.218054,0.000612
4,4,9.252673,0.000719,5.231878,0.002108,8.889348,0.000601
4,5,5.934306,0.000687,10.076209,0.001826,9.010456,0.000568
5,1,10.052095,0.000831,6.103923,0.002507,15.380917,0.00056
5,2,9.85832,0.000801,5.667928,0.002321,16.664679,0.000547
5,3,7.339241,0.00077,5.910148,0.002105,18.142216,0.00054
5,4,6.733693,0.0007,6.007035,0.002054,10.391202,0.00053
5,5,10.899862,0.00069,5.328822,0.001619,16.761566,0.00052
