Run,channel,Xf,Xm,Yf,Ym,Zf,Zm
1,1,9.688689,0.000739,5.788992,0.003603,16.785654,0.000922
1,2,5.449888,0.000558,6.806304,0.002464,15.59879,0.000768
1,3,5.110784,0.000556,5.958544,0.002368,13.564165,0.000741
1,4,9.858241,0.000547,7.823617,0.001769,17.124758,0.00069
1,5,5.788992,0.000528,6.975856,0.001614,17.488085,0.000627
2,1,9.809921,0.001194,5.643733,0.003539,17.124973,0.0015
2,2,9.495035,0.000813,7.121276,0.002222,16.834309,0.001027
2,3,10.415472,0.000603,5.789065,0.001592,15.938094,0.000989
2,4,5.353068,0.000595,6.225061,0.001463,15.720097,0.000929
2,5,10.003697,0.000478,7.726827,0.001402,16.301424,0.000912
3,1,9.761448,0.000833,5.667937,0.004353,16.955368,0.001246
3,2,10.221664,0.00063,6.103932,0.001939,15.86538,0.001113
3,3,9.325453,0.000576,5.861713,0.001757,17.052256,0.000972
3,4,5.667937,0.00056,7.751025,0.001753,13.976068,0.000849
3,5,10.342774,0.000528,6.879035,0.001714,15.62316,0.000784
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
